,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
Once upon a Thriller,CarolynKeene,JorjeanaMarie,141,24-09-2015,English,5,,305
The Magician's Nephew,C.S.Lewis,KennethBranagh,235,29-08-2005,English,5,,303
Leonora Bolt: Secret Inventor,LucyBrandt,NicoleDavis,175,20-01-2022,English,No Rating,6,410
The Hidden Kingdom,TuiT.Sutherland,ShannonMcManus,454,01-07-2016,English,5,,575
Eagle Strike,AnthonyHorowitz,OliverChris,417,20-05-2021,English,5,3,569
Toy Story 4,"Disney,OskarBlomberg",FrederickHalbout,147,07-01-2022,swedish,No Rating,,166
Mystery on the Mayhem Express,FranklinW.Dixon,TimGregory,238,22-06-2021,English,5,,305
Tunnel of Secrets,FranklinW.Dixon,TimGregory,183,02-11-2015,English,5,,305
Black Panther: Spellbound,RonaldL.Smith,DionGraham,338,01-02-2022,English,No Rating,,469
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,DavidPittu,289,01-05-2014,English,4.5,10,410
Treasure Island,RobertLouisStevenson,SamTaylor,404,06-09-2019,English,4,12,32
Minecraft: The Dragon,NickyDrayden,NicoleLewis,411,06-07-2021,English,5,7,"1,005.00"
The Christmasaurus and the Naughty List,"TomFletcher,ShaneDevries-illustrator","PaulShelley,TomFletcher",375,14-10-2021,English,No Rating,,615
Das Exil,"ShannonMessenger,DorisAttwood-Übersetzer",DavidNathan,945,25-10-2021,german,No Rating,5,468
El Cerdito de Navidad [The Christmas Pig],J.K.Rowling,CristinaTenorio,438,12-10-2021,spanish,No Rating,20,799
Big Change for Stuart,LissaEvans,LissaEvans,312,01-09-2021,English,No Rating,9,664
The Imagination Box: Beyond Infinity,MartynFord,JoshuaMcGuire,301,28-09-2021,English,No Rating,2,569
Camp Daze,R.L.Stine,"JamesMurray,KirbyHeyborne,InésdelCastillo,",180,12-10-2021,English,No Rating,,585
Vaiana,"Disney,ÅsaMalm",LisaAhnlund,175,28-10-2021,swedish,No Rating,,166
Myth of the Rain Forest Monster,GertrudeChandlerWarner,AimeeLilly,106,01-09-2021,English,No Rating,,234
Little Badman and the Time-travelling Teacher of Doom,"HumzaArshad,HenryWhite",HumzaArshad,335,21-08-2020,English,No Rating,,615
The Great Dream Robbery,"GregJames,ChrisSmith","GregJames,ChrisSmith",348,16-09-2021,English,No Rating,3,410
Among Us Book - Red Diary,ZeekidMedia,TommyJay,79,16-06-2021,English,No Rating,,204
Ut i det vilda,ErinHunter,MattiasLinderoth,495,26-08-2021,swedish,No Rating,,568
The Imagination Box: A Mind of Its Own,MartynFord,JoshuaMcGuire,377,28-09-2021,English,No Rating,,569
